William,Athi,Binbin,goc3,ChrisR,Christian,Rafael,David,Dyuman,Lincoln,time
57723,52444,52336,50576,50308,49476,48172,46589,45071,44975,30-Apr-2024 11:38:29
57723,52444,52336,50576,50308,49476,48172,46589,45071,44975,30-Apr-2024 16:17:23
57745,52444,52336,50576,50341,49531,48172,46615,45071,44975,01-May-2024 12:02:46
57756,52444,52336,50576,50341,49531,48172,46626,45071,44975,02-May-2024 12:03:16
57832,52444,52336,50576,50352,49531,48172,46637,45071,44975,03-May-2024 12:03:19
58018,52444,52336,50576,50363,49542,48172,46637,45071,44975,03-May-2024 22:29:57
58029,52444,52336,50576,50572,49553,48172,46637,45071,44975,04-May-2024 12:04:42
58094,52444,52336,50576,50594,49553,48172,46637,45071,44975,05-May-2024 12:03:48
58116,52444,52336,50576,50616,49641,48172,46637,45071,44975,06-May-2024 12:04:02
58116,52444,52336,50576,50627,49641,48172,47011,45071,44975,07-May-2024 12:04:17
58116,52444,52336,50576,50627,49641,48172,47011,45071,44975,08-May-2024 12:04:21
58160,52444,52336,50576,50627,49685,48172,47055,45071,44975,09-May-2024 12:03:56
58160,52444,52336,50576,50627,49696,48172,47055,45071,44975,10-May-2024 12:04:34
58171,52444,52336,50576,50627,49696,48172,47066,45071,44975,11-May-2024 12:03:44
58237,52444,52336,50576,50653,49773,48172,47066,45071,44975,12-May-2024 12:04:39
58259,52444,52336,50576,50752,49795,48172,47066,45071,44975,13-May-2024 12:04:38
58281,52444,52336,50576,50793,49817,48172,47110,45071,44975,14-May-2024 12:03:53
58281,52444,52336,50576,50830,49828,48172,47198,45071,44975,15-May-2024 12:05:32
58123,52444,52336,50576,50682,49828,48172,47051,45071,44975,16-May-2024 12:04:11
58134,52444,52336,50576,50682,49671,48172,47062,45071,44975,17-May-2024 12:05:28
58145,52444,52336,50576,50697,49671,48172,47062,45071,44975,18-May-2024 12:04:21
58145,52444,52336,50576,50712,49682,48172,47073,45071,44975,19-May-2024 12:05:43
58156,52444,52336,50576,50723,49704,48172,47073,45071,44975,20-May-2024 12:05:55
